映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
ウマ娘プリティーダービー　新時代の扉,ウマ娘1人1人に葛藤があって自分とも重なり感動した。ジャンポケ大好き結婚して。でもウマ娘好きじゃないとつまらないと思う。,4,5,5,3,5,1,5,5,ウマい 娘 1人1人 に 葛藤 が ある て 自分 と も 重なる 感動 する た 。 ジャンポケ 大好き 結婚 する て 。 で も ウマ 娘 好き だ ない と つまる ない と 思う 。
舞妓はレディ,舞妓さんを目指す女の子に焦点を当てた映画。当時部活で和楽器をやっていたことや友達が舞妓さんになったことからこの映画を見ましたが、日本文化が好きな私にとっては学ぶことも多く、ミュージカル風の内容もとても面白かったですｌ。,4,3,2,5,1,1,3,1,舞妓 さん を 目指す 女の子 に 焦点 を 当てる た 映画 。 当時 部活 で 和楽 器 を やる て いる た こと や 友達 が 舞妓 さん に なる た こと から この 映画 を 見る ます た が 、 日本 文化 が 好き だ 私 に とる て は 学ぶ こと も 多い 、 ミュージカル 風 の 内容 も とても 面白い た です l 。
夏へのトンネル、さよならの出口,映画にするには原作が深すぎるというか、考察厨はたのしめそうな作品。おはなしは好き,2,3,1,2,3,3,1,5,映画 に する に は 原作 が 深い すぎる と いう か 、 考察 厨 は たのしめる そう だ 作品 。 お はなし は 好き
SPY×FAMILY CODE:White,声を出して笑ってしまうほど、面白かった。,5,1,5,1,1,1,5,5,声 を 出す て 笑う て しまう ほど 、 面白い た 。
キングダム,面白い。顔面偏差値高い。ワンオク最高。,5,2,3,2,1,3,5,5,面白い 。 顔面 偏差値 高い 。 ワンオク 最高 。
黒崎くんの言いなりになんてならない,中島健人がひたすらカッコイイ,4,2,3,0,5,0,4,4,中島 健人 が ひたすら カッコイイ
映画けいおん,平沢唯は俺の嫁。BIG LOVE_____,5,3,3,3,5,1,5,3,平沢 唯 は 俺 の 嫁 。 BIG LOVE _ _ _ _ _
溺れるナイフ,途中まではよかったが、最後のほうは内容がよく分からなかった。,2,1,1,1,5,2,1,2,途中 まで は よい た が 、 最後 の ほう は 内容 が よく 分かる ない た 。
名探偵コナン ハロウィンの花嫁,警察学校組が尊すぎて6回観た。上映時間のうち半分くらいの時間泣いてた。,5,5,2,5,4,2,5,5,警察学校 組 が 尊い すぎる て 6 回 観る た 。 上映 時間 の うち 半分 くらい の 時間 泣く てる た 。
名探偵コナン 100万ドルの五稜星,まじっく快斗に焦点を当てて、怪盗キッドの心情が細かく描かれていて最高でした！,5,3,4,2,4,3,5,5,ま じっ く 快斗 に 焦点 を 当てる て 、 怪盗 キッド の 心情 が 細かい 描く れる て いる て 最高 です た !
レジェンドアンドバタフライ,ラストに夢なんだかよくわからない妄想シーンが入っていて正直下がっちゃいました。,2,3,3,4,3,5,2,5,ラスト に 夢 だ ん だ か よく わかる ない 妄想 シーン が 入る て いる て 正直 下がる ちゃう ます た 。
暗殺教室(実写),実写しないほうがよかった。特に先生(殺せんせー以外)のキャスティングに納得できない。,2,2,3,1,1,3,1,2,実写 する ない ほう が よい た 。 特に 先生 ( 殺 せんせー 以外 ) の キャスティング に 納得 できる ない 。
私の幸せの結婚,演技が良かった！,,,,,,,,,演技 が 良い た !
レミゼラブル,ヒュージャックマン?の演技ｶﾞよかった,4,5,0,3,5,0,3,4,ヒュー ジャックマン ? の 演技 ガ よい た
黒執事　Book of the Atlantic,古い作品とは思えないアニメーションのクオリティ。万人受けはしないだろうがよい作品,4,1,3,1,2,4,3,5,古い 作品 と は 思える ない アニメーション の クオリティ 。 万 人受け は する ない だ が よい 作品
ホーンテッドマンション,意外とホラーではなく、感動します。ディズニーランドのアトラクションが好きな人は見るべきです。,5,5,3,2,1,3,5,4,意外 と ホラー で は ない 、 感動 する ます 。 ディズニーランド の アトラクション が 好き だ 人 は 見る べし です 。
夜が明けたら一番に君に会いに行く,白岩瑠姫の横顔がかっこよすぎて内容が入ってこないです。原作と割と違うので違う作品だと思って見た方が楽しめるかも。,2,4,3,1,5,2,4,1,白岩 瑠姫 の 横顔 が かっこ よ すぎる て 内容 が 入る て くる ない です 。 原作 と 割 と 違う の だ 違う 作品 だ と 思う て 見る た 方 が 楽しめる か も 。
劇場版　ヴァイオレット・エヴァーガーデン,アニメでも泣いて映画でも沢山泣きました。主人公の成長と人の愛に心を打たれます。,5,5,2,3,4,2,3,4,アニメ で も 泣く て 映画 で も 沢山 泣く ます た 。 主人公 の 成長 と 人 の 愛 に 心 を 打つ れる ます 。
FALL,終始手汗が止まらないほどにハラハラドキドキした。高所恐怖症の人は見ないほうが良い。,4,1,1,4,1,4,3,5,終始 手汗 が 止まる ない ほど に ハラハラ ドキドキ する た 。 高所 恐怖症 の 人 は 見る ない ほう が 良い 。
彼女が好きなものは,安藤くん（神尾楓珠）がかっこいい。たまに苛立ちを覚えるシーンがある。デリケートな話であるため、視聴には注意。,4,3,2,3,4,1,3,3,安藤 くん ( 神尾 楓珠 ) が かっこいい 。 たまに 苛立ち を 覚える シーン が ある 。 デリケート だ 話 だ ある ため 、 視聴 に は 注意 。
先生さようなら（ドラマ）,渡辺翔太さんの演技がうまい。仕事上での表情とそうでない時の表情の演じ分けがリアル。ラストには安心した。,3,4,1,2,4,1,2,3,渡辺 翔太 さん の 演技 が うまい 。 仕事 上 で の 表情 と そう だ ない 時 の 表情 の 演じ分け が リアル 。 ラスト に は 安心 する た 。
